date,heatindex_max,heatindex_min,heatindex_mea,heatwave_has,heatwaveduration_sum,heatwaveintensity_ind,coldwave_has,coldwaveduration_sum,coldwaveintensity_ind,spi_ind,elnino_ind
2023-03-18,26.599999999999998,17.600000000000005,21.2375,0,0,0.0,0,0,0.0,0.6984184074217497,-0.15
2023-03-19,31.015885100115618,18.6,22.670679611250282,0,0,0.0,0,0,0.0,0.24481074638246186,-0.15
2023-03-20,31.31052232601776,19.899999999999995,23.977360426672885,0,0,0.0,0,0,0.0,0.09490340608005202,-0.15
2023-03-21,27.88839738116435,18.000000000000004,22.853683224215185,0,0,0.0,0,0,0.0,-0.3942031036123447,-0.15
2023-03-22,26.4,18.9,21.837500000000002,0,0,0.0,0,0,0.0,-0.4987523979419981,-0.15
2023-03-23,27.360965654024444,18.100000000000005,21.823373568917685,0,0,0.0,0,0,0.0,-1.4868915985091162,-0.15
2023-03-24,31.378941270035625,19.0,23.988631396110478,0,0,0.0,0,0,0.0,-1.4957251148742947,-0.15
2023-03-25,29.477014028871274,18.7,22.0948755845363,0,0,0.0,0,0,0.0,-1.5937768243731476,-0.15
2023-03-26,32.45654310555562,20.500000000000004,25.621571531042886,0,0,0.0,0,0,0.0,-1.5982728146921374,-0.15
2023-03-27,21.5,18.299999999999997,19.9375,0,0,0.0,0,0,0.0,-1.3000723416644802,-0.15
2023-03-28,23.100000000000005,18.199999999999996,19.84166666666667,0,0,0.0,0,0,0.0,-1.3000723416644802,-0.15
2023-03-29,30.128005818391127,19.2,22.36415110194223,0,0,0.0,0,0,0.0,-1.3214985259488012,-0.15
2023-03-30,30.58879458921561,20.2,24.24217064144649,0,0,0.0,0,0,0.0,-1.4036223293754144,-0.15
2023-03-31,29.44978544177776,19.300000000000004,21.931127286974814,0,0,0.0,0,0,0.0,-0.8071310177761077,-0.15
2023-04-01,27.609152215484475,18.7,21.70679704596371,0,0,0.0,0,0,0.0,1.4766874603638507,0.16
2023-04-02,21.2,16.4,18.15416666666667,0,0,0.0,0,0,0.0,1.3250346323754019,0.16
2023-04-03,23.299999999999997,15.300000000000002,18.9375,0,0,0.0,0,0,0.0,1.3180431553598653,0.16
2023-04-04,28.147261855617796,18.500000000000007,21.210898264036945,0,0,0.0,0,0,0.0,1.300526054890866,0.16
2023-04-05,24.499999999999996,15.999999999999998,19.441666666666666,0,0,0.0,0,0,0.0,1.0492644202899517,0.16
2023-04-06,22.399999999999995,17.9,19.84166666666667,0,0,0.0,0,0,0.0,1.030866494409841,0.16
2023-04-07,21.000000000000007,18.299999999999997,19.5125,0,0,0.0,0,0,0.0,1.0345511005059114,0.16
2023-04-08,21.000000000000007,18.500000000000007,19.270833333333332,0,0,0.0,0,0,0.0,0.9529005614965581,0.16
2023-04-09,20.600000000000005,17.600000000000005,18.75,0,0,0.0,0,0,0.0,-0.20540464378362555,0.16
2023-04-10,21.900000000000002,15.7,18.404166666666665,0,0,0.0,0,0,0.0,-0.32505867632741825,0.16
2023-04-11,24.2,16.2,19.099999999999998,0,0,0.0,0,0,0.0,-1.5001827336004223,0.16
2023-04-12,29.29018009203563,16.900000000000002,20.996352480165843,0,0,0.0,0,0,0.0,-1.9429135139593663,0.16
2023-04-13,29.559081076895588,18.7,22.73149034161575,0,0,0.0,0,0,0.0,-1.9719775622630074,0.16
2023-04-14,24.899999999999995,18.400000000000002,20.825,0,0,0.0,0,0,0.0,-1.4175301963086884,0.16
2023-04-15,21.4,18.7,19.6375,0,0,0.0,0,0,0.0,-1.3737423145405925,0.16
2023-04-16,24.4,17.5,20.129166666666666,0,0,0.0,0,0,0.0,-1.3551250016658019,0.16
2023-04-17,28.992050379031138,18.100000000000005,22.003903456191026,0,0,0.0,0,0,0.0,-1.2452287168755876,0.16
2023-04-18,24.4,19.099999999999998,20.8,0,0,0.0,0,0,0.0,-0.024727177019606524,0.16
2023-04-19,24.499999999999996,16.7,20.2125,0,0,0.0,0,0,0.0,0.3172201981206053,0.16
2023-04-20,20.600000000000005,13.899999999999997,16.879166666666666,0,0,0.0,0,0,0.0,0.3172201981206053,0.16
2023-04-21,19.400000000000002,11.199999999999998,15.158333333333331,0,0,0.0,0,0,0.0,0.32145153229529033,0.16
2023-04-22,21.800000000000004,14.099999999999998,17.150000000000002,0,0,0.0,0,0,0.0,0.32145153229529033,0.16
2023-04-23,22.7,15.500000000000004,18.570833333333333,0,0,0.0,0,0,0.0,0.3172201981206059,0.16
